State,Population,State Code
Alabama,4858979,1.0
Alaska,738432,2.0
Arizona,6828065,4.0
Arkansas,2978204,5.0
California,39144818,6.0
Colorado,5456574,8.0
Connecticut,3590886,9.0
Delaware,945934,10.0
District of Columbia,672228,11.0
Florida,20271272,12.0
Georgia,10214860,13.0
Hawaii,1431603,15.0
Illinois,12859995,17.0
Idaho,1654930,16.0
Indiana,6619680,18.0
Missouri,6083672,29.0
Mississippi,2992333,28.0
Massachusetts,6794422,25.0
Minnesota,5489594,27.0
Michigan,9922576,26.0
Maine,1329328,23.0
Maryland,6006401,24.0
Louisiana,4670724,22.0
Kansas,2911641,20.0
Iowa,3123899,19.0
Kentucky,4425092,21.0
North Dakota,756927,38.0
Oregon,4028977,41.0
Oklahoma,3911338,40.0
Pennsylvania,12802503,42.0
Ohio,11613423,39.0
North Carolina,10042802,37.0
New Mexico,2085109,35.0
Montana,1032949,30.0
New York,19795791,36.0
Nevada,2890845,32.0
Nebraska,1896190,31.0
New Hampshire,1330608,33.0
New Jersey,8958013,34.0
Utah,2995919,49.0
West Virginia,1844128,54.0
Vermont,626042,50.0
Virginia,8382993,51.0
Wisconsin,5771337,55.0
Washington,7170351,53.0
Rhode Island,1056298,44.0
South Carolina,4896146,45.0
Tennessee,6600299,47.0
Texas,27469114,48.0
South Dakota,858469,46.0
Wyoming,586107,56.0
,3474182,72.0
