State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,139.666603,120.020443,132.722932,129.812612,123.039324,120.732885,123.080771,120.012608,114.872696,109.018634
AK,39.435905,37.788246,38.729384,38.585774,38.039447,35.975289,35.171091,36.067852,34.73939,34.295441
AZ,102.12507,93.252826,95.204594,93.282044,91.25685,95.060822,93.12062,90.856296,86.971877,86.137839
AR,64.059757,61.367031,65.723403,67.168798,65.940126,68.354108,68.985869,59.176044,62.319791,64.277677
CA,379.480916,366.184902,360.953079,346.864178,351.496006,354.219,351.477053,359.290429,359.261859,360.913489
CO,97.064224,92.931686,95.398725,91.69452,90.609881,91.185686,91.833738,90.542532,87.183832,87.582932
CT,37.47676,35.720615,36.050835,34.650855,33.929278,34.664613,34.950955,36.290105,34.086323,33.578603
DC,3.07835,3.171786,3.209717,3.080198,2.648655,2.826738,3.019301,2.984181,2.768008,2.634548
DE,15.588371,11.939328,11.232065,12.191584,13.316142,13.046189,12.685983,12.786006,13.240562,12.339543
FL,237.796669,223.440307,241.444374,228.354541,222.060114,221.129496,227.026655,231.401212,229.211894,227.957278
GA,171.747435,161.815957,171.351718,156.025685,135.837665,134.180946,139.349685,136.696936,135.866042,132.695538
HI,19.309235,18.890497,19.034575,19.471834,18.930649,18.457714,18.418707,18.581497,18.509989,17.728714
ID,15.466057,15.092453,15.894076,15.710533,15.583881,17.054331,16.592056,17.852241,18.267756,18.552767
IL,240.790418,225.637906,230.777009,229.511123,216.83587,230.25987,233.295335,215.876969,204.059822,202.401899
IN,227.085998,204.212458,216.651719,209.250043,194.572961,200.059428,205.600214,186.230267,182.103758,176.963915
IA,91.029089,86.061126,90.551848,87.48302,81.518444,82.819285,83.850183,77.921521,74.539731,76.792587
KS,74.318584,72.497474,72.277007,70.44771,65.683711,69.414179,69.679525,64.008552,61.892317,58.238418
KY,150.440102,140.035791,149.489442,148.390967,137.015203,136.493525,137.875144,128.458404,123.701117,114.336598
LA,239.337213,222.406423,235.891603,238.454898,225.938334,218.571103,215.80254,218.130213,219.759237,227.860278
ME,18.975492,18.278018,17.979811,17.441804,15.735848,16.493298,16.554575,16.762278,16.362107,15.48136
MD,74.354097,71.047926,69.699539,65.007629,60.404331,59.696394,61.62936,59.66171,57.723805,51.956314
MA,76.357882,69.928085,71.432498,67.65052,61.383681,65.23843,63.445481,65.288834,63.718062,63.704821
MI,174.780052,163.747082,164.508287,159.263905,152.494639,161.246653,161.227845,161.441761,151.381096,152.719156
MN,99.599928,91.823148,91.637864,91.337159,86.3745,89.2711,94.567813,87.552339,88.994236,88.453942
MS,64.356156,60.255541,65.079991,60.225452,62.050484,60.328756,63.662419,64.900238,68.480787,67.801279
MO,135.214719,129.542957,133.5978,134.240502,126.488803,132.035222,131.729336,122.427498,117.67606,123.203186
MT,35.808866,32.337189,34.287455,31.393408,30.128209,31.498827,31.980429,31.940187,30.463929,30.46831
NE,46.609906,47.272739,49.791193,52.225483,50.496819,53.450245,52.189357,50.686289,48.52682,48.011829
NV,40.731923,39.231333,37.408835,33.704141,34.362347,36.228894,37.081772,35.097105,36.504792,36.399678
NH,18.668101,16.98336,16.516008,16.149663,14.483137,14.234132,14.937374,15.123994,13.680766,13.465899
NJ,126.005889,108.977391,113.245133,113.522949,103.004757,106.689646,112.692649,111.01751,110.171776,101.650229
NM,56.290718,57.162309,53.139968,55.550595,53.525993,53.109548,50.072707,50.205522,48.322583,49.005391
NY,186.854338,171.098055,172.902262,163.116861,159.462054,161.097763,168.874569,166.811529,162.789066,157.731884
NC,149.094737,132.836901,142.875166,128.448246,121.121485,124.754022,127.166822,120.778524,120.223562,115.76748
ND,53.092626,51.630562,52.459248,53.920265,56.30797,56.938593,58.958562,57.610697,54.634133,56.526802
OH,259.915008,234.975715,247.141718,235.368188,215.376323,229.60122,231.666146,212.891632,206.407588,205.621802
OK,111.343644,105.591851,105.296696,107.02284,104.194496,102.996938,104.338104,100.484498,96.537056,93.311251
OR,42.538984,40.621649,40.452219,36.989706,36.692587,38.911898,37.828612,37.910437,37.737165,38.568782
PA,267.457907,242.40798,254.419583,247.126263,236.353959,246.092075,245.894238,229.691958,216.636771,216.650887
RI,10.603685,11.172167,10.944773,10.974463,10.4774,10.083102,10.583647,10.838404,9.670547,10.046786
SC,84.514086,79.004188,83.26804,79.381724,72.838855,69.811095,74.131083,72.471315,71.523388,69.270082
SD,14.948079,14.703522,15.049625,14.580747,14.951726,15.392433,15.438926,14.19255,14.902223,14.570327
TN,120.318667,101.811061,109.402609,105.878,99.467649,98.036222,103.489126,99.764718,102.697836,98.260488
TX,643.6987,611.110086,648.818958,666.708188,662.002423,696.845756,693.485215,693.100945,695.363753,710.994283
UT,69.179182,64.377921,63.64035,64.088852,61.38695,66.740016,65.113996,63.479515,58.678955,58.523249
VT,5.901652,6.132742,5.854555,5.782272,5.430809,5.720077,5.867586,6.125115,5.917026,5.833906
VA,116.178708,105.125553,108.298889,99.459563,97.415561,104.651387,103.779349,102.860265,103.882284,98.481411
WA,75.157759,72.977136,73.044555,68.149752,67.912628,72.679159,71.204237,73.06239,78.443075,78.732677
WV,110.594707,89.630784,100.698847,98.008519,92.31614,94.564922,100.288202,92.380483,94.915057,91.329383
WI,104.640077,95.681722,98.088825,97.221495,90.023683,100.62939,100.917239,99.705995,95.500802,98.217587
WY,66.814805,63.583423,65.148526,63.954748,66.240255,68.361649,65.481949,63.560568,60.801386,61.015161
