STATE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,0,0,0,0.0,0,0.0,0.0,0,62522,361376,714504
AR,0,0,0,0.0,0,0.0,0.0,1854,52284,61624,406826
AZ,29448,28290,31508,166697.56,1910886,4222877.28,6283015.71,6913216,7531650,9884002,10280753
CA,1340962,1294780,1538662,1777658.8,2764600,7627449.58,19863629.72,29628768,37613423,48705833,53970354
CO,36708,51170,84996,209271.22,330898,496904.92,506130.0,502742,1076218,1908996,2124760
CT,0,0,0,0.0,0,0.0,23412.46,34878,49036,79732,211110
DE,0,0,0,16559.6,45118,89454.0,99060.0,97023,102172,100570,99578
FL,0,18940,160880,251452.0,387232,419804.0,483368.36,447866,447966,1752854,4824126
GA,0,0,0,0.0,5842,28994.6,238453.32,258904,1761846,3972544,3991674
HI,36,2780,3540,7186.0,9216,38931.92,78523.5,108794,177022,350038,369152
IA,0,0,0,0.0,0,0.0,0.0,0,302,9676,22912
ID,0,0,0,0.0,0,0.0,0.0,0,59602,918690,1111928
IL,0,32,28290,28124.0,61314,104240.0,100233.8,98720,97620,104294,132100
IN,0,0,0,0.0,342,61080.0,204253.8,312196,451682,555350,581434
KS,0,0,0,0.0,0,0.0,0.0,3612,4204,10560,15454
KY,0,0,0,0.0,0,0.0,0.0,0,23464,39770,78872
LA,0,0,0,0.0,0,0.0,0.0,0,0,4846,3036
MA,160,86,1855,9528.94,59228,212914.02,612642.78,902732,1218561,1576949,1956623
MD,0,0,160,5412.0,44946,126970.78,196235.44,237603,417314,534180,793440
ME,0,0,0,0.0,0,0.0,0.0,0,0,10872,24064
MI,0,0,0,0.0,0,0.0,0.0,2380,18470,126608,236306
MN,0,0,0,0.0,0,5412.0,5306.0,5578,20214,1192248,2084042
MO,0,0,0,0.0,0,0.0,17414.0,33796,65368,112376,182462
MS,0,0,0,0.0,0,0.0,0.0,0,0,171846,651706
MT,0,0,0,0.0,0,0.0,0.0,0,0,27266,68024
NC,3602,9126,22680,34760.9,278982,689325.62,1458260.96,2747158,6842256,10228236,12220756
NE,0,0,0,0.0,0,0.0,0.0,0,7962,30516,54224
NJ,5338,21414,42168,137755.22,608652,874817.56,1028504.8,1255780,1669757,1851995,1980840
NM,0,0,17860,255604.0,667594,776082.42,1030108.42,1229754,1503672,2385282,2697152
NV,312026,348618,433834,582449.02,946834,1490764.0,2027364.0,3314810,6248120,8291734,9437790
NY,0,0,0,12886.0,105426,134034.32,141231.28,201052,279222,365608,594944
OH,0,0,25696,30990.0,73274,92619.08,107816.54,112144,131116,210356,238110
OK,0,0,0,0.0,0,0.0,0.0,3112,10872,65164,123252
OR,0,0,0,180.0,12824,40986.0,48084.1,48416,81872,388104,1143392
PA,350,7124,15819,46288.06,64294,126211.62,124784.84,127788,149610,139233,124950
RI,0,0,0,0.0,0,4013.2,19606.0,28702,29326,28166,57732
SC,0,0,0,0.0,0,230.0,9570.0,8440,9942,159044,1020988
SD,0,0,0,0.0,0,0.0,0.0,0,728,4112,3344
TN,0,0,0,0.0,24366,40788.0,54962.0,152294,157234,184684,335188
TX,0,0,16416,57278.0,236530,326025.86,564702.6,801518,1461620,4378254,6411294
US-TOTAL,1728630,1782359,2424363,3635391.3,8653350,18071240.75,35382062.37,49785807,72108242,106573730,127650629
UT,0,0,0,0.0,3238,4200.0,4470.0,63718,2107322,4422210,4447412
VA,0,0,0,0.0,0,0.0,0.0,0,41816,626442,1526144
VT,0,0,0,3630.0,10128,34586.0,47071.94,96044,118062,197602,213480
WA,0,0,0,1680.0,1588,1524.0,1458.0,1580,1454,962,3390
WI,0,0,0,0.0,0,0.0,2388.0,2834,5342,42930,79364
WY,0,0,0,0.0,0,0.0,0.0,0,0,0,1648
Grand Total,3457260,3564719,4848727,7270782.62,17306702,36142481.53,70764124.74,99571613,144216487,213147464,255301263
