STATE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Grand Total
AL,0,0,0,0,0,0,0,0,62522,361376,714504,1138402
AR,0,0,0,0,0,0,0,1854,52284,61624,406826,522588
AZ,29448,28290,31508,166697.56,1910886,4222877.28,6283015.71,6913216,7531650,9884002,10280753,47282343.55
CA,1340962,1294780,1538662,1777658.8,2764600,7627449.58,19863629.72,29628768,37613423,48705833,53970354,206126120.1
CO,36708,51170,84996,209271.22,330898,496904.92,506130,502742,1076218,1908996,2124760,7328794.14
CT,0,0,0,0,0,0,23412.46,34878,49036,79732,211110,398168.46
DE,0,0,0,16559.6,45118,89454,99060,97023,102172,100570,99578,649534.6
FL,0,18940,160880,251452,387232,419804,483368.36,447866,447966,1752854,4824126,9194488.36
GA,0,0,0,0,5842,28994.6,238453.32,258904,1761846,3972544,3991674,10258257.92
HI,36,2780,3540,7186,9216,38931.92,78523.5,108794,177022,350038,369152,1145219.42
IA,0,0,0,0,0,0,0,0,302,9676,22912,32890
ID,0,0,0,0,0,0,0,0,59602,918690,1111928,2090220
IL,0,32,28290,28124,61314,104240,100233.8,98720,97620,104294,132100,754967.8
IN,0,0,0,0,342,61080,204253.8,312196,451682,555350,581434,2166337.8
KS,0,0,0,0,0,0,0,3612,4204,10560,15454,33830
KY,0,0,0,0,0,0,0,0,23464,39770,78872,142106
LA,0,0,0,0,0,0,0,0,0,4846,3036,7882
MA,160,86,1855,9528.94,59228,212914.02,612642.78,902732,1218561,1576949,1956623,6551279.74
MD,0,0,160,5412,44946,126970.78,196235.44,237603,417314,534180,793440,2356261.22
ME,0,0,0,0,0,0,0,0,0,10872,24064,34936
MI,0,0,0,0,0,0,0,2380,18470,126608,236306,383764
MN,0,0,0,0,0,5412,5306,5578,20214,1192248,2084042,3312800
MO,0,0,0,0,0,0,17414,33796,65368,112376,182462,411416
MS,0,0,0,0,0,0,0,0,0,171846,651706,823552
MT,0,0,0,0,0,0,0,0,0,27266,68024,95290
NC,3602,9126,22680,34760.9,278982,689325.62,1458260.96,2747158,6842256,10228236,12220756,34535143.48
NE,0,0,0,0,0,0,0,0,7962,30516,54224,92702
NJ,5338,21414,42168,137755.22,608652,874817.56,1028504.8,1255780,1669757,1851995,1980840,9477021.58
NM,0,0,17860,255604,667594,776082.42,1030108.42,1229754,1503672,2385282,2697152,10563108.84
NV,312026,348618,433834,582449.02,946834,1490764,2027364,3314810,6248120,8291734,9437790,33434343.02
NY,0,0,0,12886,105426,134034.32,141231.28,201052,279222,365608,594944,1834403.6
OH,0,0,25696,30990,73274,92619.08,107816.54,112144,131116,210356,238110,1022121.62
OK,0,0,0,0,0,0,0,3112,10872,65164,123252,202400
OR,0,0,0,180,12824,40986,48084.1,48416,81872,388104,1143392,1763858.1
PA,350,7124,15819,46288.06,64294,126211.62,124784.84,127788,149610,139233,124950,926452.52
RI,0,0,0,0,0,4013.2,19606,28702,29326,28166,57732,167545.2
SC,0,0,0,0,0,230,9570,8440,9942,159044,1020988,1208214
SD,0,0,0,0,0,0,0,0,728,4112,3344,8184
TN,0,0,0,0,24366,40788,54962,152294,157234,184684,335188,949516
TX,0,0,16416,57278,236530,326025.86,564702.6,801518,1461620,4378254,6411294,14253638.46
US-TOTAL,1728630,1782359,2424363,3635391.3,8653350,18071240.75,35382062.37,49785807,72108242,106573730,127650629,427795804.4
UT,0,0,0,0,3238,4200,4470,63718,2107322,4422210,4447412,11052570
VA,0,0,0,0,0,0,0,0,41816,626442,1526144,2194402
VT,0,0,0,3630,10128,34586,47071.94,96044,118062,197602,213480,720603.94
WA,0,0,0,1680,1588,1524,1458,1580,1454,962,3390,13636
WI,0,0,0,0,0,0,2388,2834,5342,42930,79364,132858
WY,0,0,0,0,0,0,0,0,0,0,1648,1648
Grand Total,3457260,3564719,4848727,7270782.62,17306702,36142481.53,70764124.74,99571613,144216487,213147464,255301263,855591623.9
